Wave;Abs;bb
813;1.933;3.08E-05
814;1.9444;3.07E-05
815;1.9558;3.05E-05
816;1.9672;3.03E-05
817;1.9786;3.02E-05
818;1.99;3.00E-05
819;2.0738;2.99E-05
820;2.1576;2.97E-05
821;2.2414;2.96E-05
822;2.3252;2.94E-05
823;2.409;2.93E-05
824;2.4928;2.92E-05
825;2.5766;2.90E-05
826;2.6604;2.89E-05
827;2.7442;2.87E-05
828;2.828;2.86E-05
829;2.901;2.84E-05
830;2.974;2.83E-05
831;3.047;2.82E-05
832;3.12;2.80E-05
833;3.193;2.79E-05
834;3.2494;2.77E-05
835;3.3058;2.76E-05
836;3.3622;2.75E-05
837;3.4186;2.73E-05
838;3.475;2.72E-05
839;3.5314;2.71E-05
840;3.5878;2.69E-05
841;3.6442;2.68E-05
842;3.7006;2.67E-05
843;3.757;2.66E-05
844;3.796;2.64E-05
845;3.835;2.63E-05
846;3.874;2.62E-05
847;3.913;2.60E-05
848;3.952;2.59E-05
849;3.9794;2.58E-05
850;4.0068;2.57E-05
851;4.0342;2.55E-05
852;4.0616;2.54E-05
853;4.089;2.53E-05
854;4.1162;2.52E-05
855;4.1434;2.51E-05
856;4.1706;2.49E-05
857;4.1978;2.48E-05
858;4.225;2.47E-05
859;4.2672;2.46E-05
860;4.3094;2.45E-05
861;4.3516;2.44E-05
862;4.3938;2.42E-05
863;4.436;2.41E-05
864;4.488;2.40E-05
865;4.54;2.39E-05
866;4.592;2.38E-05
867;4.644;2.37E-05
868;4.696;2.36E-05
869;4.748;2.34E-05
870;4.8;2.33E-05
871;4.852;2.32E-05
872;4.904;2.31E-05
873;4.956;2.30E-05
874;5.0154;2.29E-05
875;5.0748;2.28E-05
876;5.1342;2.27E-05
877;5.1936;2.26E-05
878;5.253;2.25E-05
879;5.3174;2.24E-05
880;5.3174;2.23E-05
881;5.3174;2.22E-05
882;5.3174;2.21E-05
883;5.3174;2.20E-05
884;5.3174;2.19E-05
885;5.3174;2.18E-05
886;5.3174;2.17E-05
887;5.3174;2.16E-05
888;5.3174;2.15E-05
889;5.3174;2.14E-05
890;5.3174;2.13E-05
891;5.3174;2.12E-05
892;5.3174;2.11E-05
893;5.3174;2.10E-05
894;5.3174;2.09E-05
895;5.3174;2.08E-05
896;5.3174;2.07E-05
897;5.3174;2.06E-05
898;5.3174;2.05E-05
899;5.3174;2.04E-05
900;5.3174;2.04E-05
